QBTt3gKBJ7 0.49569538600405816 25
1WgaRw6Xs9 0.7939468651378767 31
8pJYJtdYbv 0.4738487074360552 72
FF9Tc29eQD 0.1087052760944881 34
ZCUo3oUKdF 0.007347635792155582 79
6Sli4SgfIu 0.8126628800259427 64
w8GAtx1Kva 0.9564060317793589 77
c55eat1sod 0.10457326040798687 15
opRWYFMq4Y 0.5028686018925358 85
y2djMnGKcL 0.9037670996356816 81
aTBRDiW4nl 0.6930772777458702 13
UudaZgsvK1 0.8964634212137804 3
QlwVI9zrN3 0.1207193323662682 52
VtIy1xemaJ 0.06975410043597152 97
Jq7Qgg9ZFc 0.03694908511808659 91
n2E68xQJgn 0.6711922633873039 31
Kup3WL2pYb 0.1256505523989877 24
g5KzwNPV8A 0.19505057877489151 16
EF8cm1umjz 0.8876945086409523 63
34MPjYMhaD 0.47390729418853816 35
6cD1jJYvxz 0.47264253212931684 76
47uDVf8Ra2 0.8371896941145559 6
2sa1NIM4WY 0.6796635365560344 28
cbsagSt7JG 0.7752098070530431 37
xY7m6RjdRn 0.7999269306305 41
9mWNQkaIYA 0.6800997926212441 89
lFw2u2aSnW 0.13762249622344902 62
SCaimanvH9 0.3624199733363551 30
oHIjaw7OTB 0.18069037379059116 28
lAcrEZegjG 0.23261629427802333 80
xhuVylQv7y 0.45013956610919625 86
o7MyxPELVM 0.6744754400035767 22
DXM2lc8R8s 0.4303817771294962 21
fneIbwmp4g 0.13143645006650506 61
qsI2vS5yB8 0.9206626599313346 91
q1tgzhb1Jo 0.9857431232059356 54
Dx4XKbgoGp 0.07316845047280374 78
oa6wI9XGvY 0.06284142988916286 61
3so1hUPMD7 0.791597295848545 49
5cPvKpz9vr 0.5060610173553043 29
InLXJOaDjQ 0.38121949094537866 96
VQltnPdWW1 0.3160939898088173 93
jxN5nCvvKL 0.7081219330370777 17
fagf6A1u3a 0.023483468854635037 32
GHREMPi95X 0.4705988320495943 64
aydEucTs4C 0.7200910023328289 36
8MdUopZYzu 0.3851681456246494 50
QMalRMaQGP 0.28616970579890555 88
FOemP5ZWSl 0.8576879639241299 57
ZqAtjQKk2z 0.7661114180045925 96
8542yWNpvs 0.17483631907897657 58
Rd6ehFbEgQ 0.046691235742576054 33
1JS1e4GEuc 0.42679468382370944 43
dhDBW9lcCH 0.16994844961251454 32
